Alt_Geocode,Area,Y_M_0,Y_M_1,Y_M_2,Y_M_3,Y_M_4,Y_M_5,Y_M_6,Y_M_7,Y_M_8,Y_M_9,Y_M_10,Y_M_11,Y_M_12,Y_M_13,Y_M_14,Y_M_15,Y_M_16,Y_M_17,Y_M_18,Y_M_19,Y_M_20,Y_M_21,Y_M_22,Y_M_23,Y_M_24,Y_M_25,Y_M_26,Y_M_27,Y_M_28,Y_M_29,Y_F_0,Y_F_1,Y_F_2,Y_F_3,Y_F_4,Y_F_5,Y_F_6,Y_F_7,Y_F_8,Y_F_9,Y_F_10,Y_F_11,Y_F_12,Y_F_13,Y_F_14,Y_F_15,Y_F_16,Y_F_17,Y_F_18,Y_F_19,Y_F_20,Y_F_21,Y_F_22,Y_F_23,Y_F_24,Y_F_25,Y_F_26,Y_F_27,Y_F_28,Y_F_29,Y_T_0,Y_T_1,Y_T_2,Y_T_3,Y_T_4,Y_T_5,Y_T_6,Y_T_7,Y_T_8,Y_T_9,Y_T_10,Y_T_11,Y_T_12,Y_T_13,Y_T_14,Y_T_15,Y_T_16,Y_T_17,Y_T_18,Y_T_19,Y_T_20,Y_T_21,Y_T_22,Y_T_23,Y_T_24,Y_T_25,Y_T_26,Y_T_27,Y_T_28,Y_T_29
35512,90183.8116599233,179.19016314592068,196.4173661444775,209.2627437887283,218.25291967217925,223.91451738833638,226.774160530706,227.35847269279424,226.1940774681071,223.80759845015092,220.7256592324316,216.73727322539992,211.6314538395055,209.6228755835345,212.71338241710495,219.21676738455514,224.9856588089941,230.29834611186624,236.9231237469854,245.14567346892457,254.01000617194958,262.7311061344451,272.01396266716444,277.0677096790413,275.6010746078574,269.9026643929119,264.51024836307425,258.46574044539454,253.80364643495605,251.97815209312827,251.94961662458698,180.29211267811826,190.82676567719864,198.72618882437692,204.30781655768615,207.889083315159,209.78742353482858,210.32027165472755,209.80506211288883,208.5592293473453,206.9002077961298,204.85375116251112,202.44561314975786,201.4516318697238,202.77260322997006,205.85091946423722,208.74257890768624,211.25366430406376,216.2583685628351,224.80514877584176,235.38570356349317,245.78817321316058,256.8688081779345,264.500878411975,266.53779242462076,264.98544247431914,263.7912666784134,261.9197226553166,261.63493436685724,264.38168935297796,268.85505320077476,359.48227582403894,387.24413182167615,407.98893261310525,422.56073622986537,431.80360070349536,436.5615840655346,437.6787443475218,435.9991395809959,432.3668277974962,427.6258670285614,421.59102438791103,414.07706698926336,411.0745074532583,415.48598564707504,425.0676868487924,433.7282377166803,441.55201041593,453.1814923098205,469.9508222447663,489.3957097354428,508.5192793476057,528.882770845099,541.5685880910163,542.1388670324782,534.888106867231,528.3015150414876,520.3854631007111,515.4385808018133,516.3598414461062,520.8046698253618
24442,105280.205359739,834.026606996667,852.5183741653174,861.3262010325521,861.9663836046149,855.9552178877501,844.8089998882007,830.0440256122115,813.1765910660262,795.7229922558889,779.1995251880436,762.383741460412,744.0531926709157,739.4178968674098,755.4716388727819,785.5144814683107,814.9318597514613,845.5416752696351,877.3521963232965,908.5377634280557,938.7807448053019,970.6514837780102,1004.9106904222207,1030.420123945264,1042.2926245299807,1045.5568247498038,1047.9235668499127,1045.2047422067767,1052.8158367725136,1078.3536976895348,1113.0788432872118,810.6034717360484,827.2583259714116,836.1465140593273,838.4105461442451,835.1929323706153,827.6361828828867,816.88280782551,804.0753173429347,790.3562215796105,776.8680306799874,763.58953694176,750.4995326626225,744.5591172208012,749.2382364542557,762.1882469671705,775.6270461632421,788.7548385266966,812.4256625030982,850.5029217105861,897.1384914661875,943.8153885711773,993.670463788168,1030.8922170902686,1047.2010181851147,1050.107529104932,1053.6343311461103,1052.8556548155404,1060.61926740361,1084.044226273875,1115.4383081369745,1644.6300787327154,1679.776700136729,1697.4727150918793,1700.37692974886,1691.1481502583654,1672.4451827710873,1646.9268334377216,1617.2519084089608,1586.0792138354996,1556.067555868031,1525.9732784021721,1494.552725333538,1483.977014088211,1504.7098753270375,1547.7027284354813,1590.5589059147032,1634.2965137963317,1689.7778588263948,1759.0406851386417,1835.9192362714894,1914.4668723491875,1998.5811542103888,2061.312341035533,2089.493642715095,2095.664353854736,2101.557897996023,2098.0603970223174,2113.435104176124,2162.39792396341,2228.5171514241865
24444,91496.12767637211,279.769099394004,285.97204919676545,288.92658069240326,289.1413260635083,287.1249174926708,283.3859871624814,278.4331672555305,272.77508995440854,266.92038744170605,261.37769190001353,255.73694052152482,249.58807049843386,248.03318896531397,253.4183180855487,263.4960050705388,273.3638838908816,283.63175845955345,294.30240230721483,304.7634091652871,314.90823141712275,325.5990749551072,337.0911152893091,345.6480980225471,349.63065544165096,350.7256114228258,351.5195205829382,350.6075076316035,353.16060255622364,361.7271210231824,373.3754576340419,271.9119523943005,277.4987211575978,280.4802094356118,281.2396652404307,280.16033658414216,277.6254714788343,274.0183179365949,269.7221239695117,265.12013758967294,260.59560680916616,256.14141763209045,251.75045606254417,249.75778015256145,251.32736193020838,255.67136338360547,260.17932598803196,264.5829632667027,272.5231956760717,285.29597819798437,300.9395933699195,316.5970715550689,333.320650049864,345.8064583967403,351.27714552625747,352.2521168306394,353.43516097360737,353.1739588648868,355.7782150472032,363.6359735391141,374.1669253316783,551.6810517883046,563.4707703543633,569.406790128015,570.380991303939,567.285254076813,561.0114586413157,552.4514851921253,542.4972139239203,532.040525031379,521.9732987091797,511.8783581536153,501.33852656097804,497.7909691178754,504.7456800157571,519.1673684541443,533.5432098789136,548.2147217262561,566.8255979832866,590.0593873632715,615.8478247870423,642.196146510176,670.4117653391731,691.4545564192874,700.9078009679084,702.9777282534652,704.9546815565456,703.7814664964903,708.9388176034269,725.3630945622965,747.5423829657202
24447,103646.35369619,512.2816859133154,523.6398289087986,529.0498340830873,529.4430514203543,525.7508309047721,518.9045225205134,509.8354762517509,499.4750420826568,488.75456999740396,478.6054099801649,468.2767011868534,457.0175827733836,454.17045886522135,464.0311011030564,482.4842269862856,500.55317579078314,519.3545517619752,538.8934335777657,558.0484518715606,576.6245085830357,596.2003779966194,617.2433088292197,632.9118924317856,640.204303099499,642.2092629325065,643.6629797420513,641.9930039734205,646.6679439031878,662.3539884532764,683.6831116862037,497.89456254629243,508.12442445009185,513.5837900043507,514.9744198302001,512.998074548771,508.35651478119433,501.7515011486011,493.8847942721225,485.4581547728893,477.17334327203264,469.0173334086445,460.9770988218165,457.32833504287544,460.20237665702984,468.156623339294,476.4110972245571,484.4745423399437,499.0138022766198,522.4018838616907,551.0467109522285,579.7169224527579,610.339256831848,633.2018635812098,643.2191700869754,645.0044278826589,647.1706852167633,646.6924013609347,651.4610222274522,665.8492652377541,685.1323589460852,1010.1762484596079,1031.7642533588905,1042.633624087438,1044.4174712505544,1038.748905453543,1027.2610373017078,1011.586977400352,993.3598363547793,974.2127247702933,955.7787532521975,937.2940345954979,917.9946815952001,911.4987939080968,924.2334777600863,950.6408503255795,976.9642730153403,1003.8290941019189,1037.9072358543854,1080.4503357332514,1127.6712195352643,1175.9173004493773,1227.5825656610677,1266.1137560129955,1283.4234731864744,1287.2136908151654,1290.8336649588146,1288.6854053343552,1298.12896613064,1328.2032536910306,1368.815470632289
24450,50394.900608462405,458.98349363042513,469.1599269978222,474.0070713645498,474.3593783414577,471.051299539395,464.9172865692106,456.79179104175427,447.50926456787545,437.904158758423,428.8109252242466,419.55682327418185,409.46911221706506,406.91820517381194,415.75293835929796,432.28618647833315,448.47522758472223,465.3204935443505,482.82653469288925,499.9886498291029,516.6320390269349,534.1712196269716,553.0248274395864,567.0632392659295,573.5969416667978,575.3933037106748,576.6957745117802,575.1995441751109,579.3880995589129,593.4421556463449,612.5521801261907,446.0932188813616,455.2587577686734,460.15012652359815,461.3960740376686,459.62534920241677,455.466700909376,449.5488780500781,442.5006295160559,434.9507041988418,427.52785098996833,420.22039880612283,413.01667656399223,409.74753302933595,412.322557043377,419.44923757311216,426.84490943512037,434.06942729505295,447.09601117384875,468.05077843995684,493.7153753324212,519.4027156087009,546.8390783815424,567.3230415873367,576.2981395247708,577.8976574728289,579.8385354904009,579.4100124600213,583.6825021138544,596.5737809553086,613.8506464464347,905.0767125117868,924.4186847664955,934.157197888148,935.7554523791264,930.6766487418117,920.3839874785866,906.3406690918323,890.0098940839314,872.8548629572648,856.3387762142149,839.7772220803047,822.4857887810573,816.6657382031478,828.075495402675,851.7354240514453,875.3201370198426,899.3899208394034,929.922545866738,968.0394282690597,1010.3474143593561,1053.5739352356725,1099.8639058211288,1134.3862808532663,1149.8950811915686,1153.2909611835037,1156.534310002181,1154.6095566351323,1163.0706016727672,1190.0159366016535,1226.4028265726254
24454,17513.6345816691,222.27061064726837,227.19872242043604,229.54603485541574,229.71664541777437,228.11465157307845,225.14415078689495,221.2092405247904,216.71401825233153,212.0625814350851,207.6590275386179,203.17757037486854,198.29242375577604,197.0571034150465,201.33547412550226,209.34198239182652,217.18180253491275,225.3394107974219,233.81701075945017,242.12805867874812,250.18790469853695,258.68155302863863,267.81173521631024,274.6100763968987,277.7741336888,278.64405288700254,279.2747967876023,278.5502217747853,280.57860146181997,287.3845185827517,296.6388748473906,216.028273938533,220.46684309610285,222.83557220779656,223.43894368508094,222.58143993942272,220.56754338228885,217.7017364251461,214.28850147946125,210.6323209567012,207.03767726833266,203.4989184915192,200.01039270342397,198.4272539870313,199.67425342241467,203.12547041813082,206.706951068539,210.20554747381985,216.51389360187244,226.66159815243304,239.09011826880572,251.5296522630284,264.81618031485806,274.73588998849027,279.0822348446146,279.856828956889,280.7967325112708,280.5892130781571,282.6582394008263,288.90106173870953,297.2676793738361,438.2988845858014,447.6655655165389,452.3816070632123,453.1555891028553,450.6960915125012,445.71169416918383,438.9109769499365,431.00251973179275,422.6949023917863,414.69670480695055,406.67648886638773,398.3028164592,395.48435740207776,401.0097275479169,412.4674528099573,423.88875360345173,435.54495827124174,450.3309043613226,468.78965683118116,489.2780229673427,510.21120529166706,532.6279155311684,549.3459663853889,556.8563685334146,558.5008818438915,560.0715292988732,559.1394348529425,563.2368408626462,576.2855803214612,593.9065542212267
24456,11117.477711573501,270.26713268173785,276.2594078002707,279.1135926561329,279.321044443087,277.3731203548957,273.76117758532183,268.976573328128,263.51066477707667,257.85480912593073,252.50036356845277,247.0511925153406,241.111160377292,239.60908826339403,244.81131893353876,254.54673123229446,264.0794612107102,273.99860161822335,284.306831870221,294.4125452660505,304.2128128834352,314.5405569267787,325.6422862664334,333.90864301482395,337.7559382190139,338.81370522434025,339.58065007369834,338.699612052055,341.16599453281225,349.4415633048088,360.6942807498556,262.6768428570789,268.0738646119251,270.9540906414028,271.68775246934314,270.6450816195772,268.1963096159358,264.7116679822504,260.561388242352,256.11570192007156,251.74484053924044,247.44193172019615,243.20010308327682,241.27510566977963,242.791378810522,246.9878423188554,251.34269827541516,255.5967721817955,263.26732567301076,275.60629841387174,290.71859995800685,305.8442936824953,321.9998790978363,334.0616243735617,339.34650732745007,340.28836522808643,341.4312290526035,341.1788984371659,343.69470478955674,351.28558552191106,361.4588682366826,532.9439755388167,544.3332724121958,550.0676832975357,551.0087969124302,548.018201974473,541.9574872012577,533.6882413103783,524.0720530194287,513.9705110460022,504.2452041076932,494.49312423553675,484.31126346056885,480.88419393317366,487.6026977440607,501.53457355114983,515.4221594861253,529.5953738000188,547.5741575432318,570.0188436799222,594.9314128414421,620.384850609274,647.6421653642697,667.9702673883857,677.102445546464,679.1020704524267,681.0118791263019,679.8785104892208,684.860699322369,700.7271488267199,722.1531489865381
24462,463823.87204393797,21859.143486645462,22343.797312323586,22574.64312133223,22591.421770277426,22433.874115765182,22141.74101440155,21754.763322792525,21312.681897544142,20855.237595262413,20422.171272553373,19981.44357388841,19501.015143738947,19379.527899384077,19800.283121699038,20587.681030886037,21358.686040851768,22160.943838310664,22994.671129326776,23812.018898154718,24604.662279591088,25439.967833365103,26337.87313855559,27006.45416659677,27317.622522853526,27403.174485728006,27465.20481831975,27393.94667608363,27593.427129224074,28262.75322517816,29172.870415758392,21245.24259046245,21681.752470464915,21914.704489931577,21974.042889525328,21889.71190990902,21691.655791745547,21409.818775697764,21074.145102428556,20714.57901260079,20361.064746877342,20013.046468681623,19669.968341437027,19514.27499200378,19636.91081552368,19976.319820941204,20328.539570659566,20672.608090518803,21293.000695296003,22290.973978060232,23513.25345776639,24736.616093551787,26043.27613349076,27018.827317751966,27446.267425634054,27522.444659690453,27614.879207676768,27594.47074944292,27797.94857734276,28411.89726212909,29234.710030801463,43104.38607710791,44025.5497827885,44489.3476112638,44565.464659802754,44323.5860256742,43833.396806147095,43164.58209849029,42386.8269999727,41569.816607863206,40783.23601943071,39994.49004257003,39170.98348517597,38893.80289138785,39437.19393722272,40564.00085182724,41687.225611511334,42833.55192882947,44287.67182462278,46102.99287621495,48117.91573735748,50176.583926916894,52381.14927204635,54025.281484348736,54763.88994848758,54925.61914541846,55080.08402599652,54988.41742552655,55391.37570656683,56674.65048730725,58407.580446559856
24465,10713.3779919323,212.49247456120838,217.20378847986512,219.4478377205564,219.61094267498493,218.0794237348532,215.2396012918635,211.4777957377184,207.18032746412047,202.73351686277203,198.52368432537565,194.23937565441273,189.5691366523645,188.38816065703918,192.47831723858135,200.13260302103035,207.62753362765937,215.42627221706894,223.53092534647257,231.47635328455573,239.18163013449333,247.3016254548052,256.0301522026238,262.52942040717346,265.5542843285301,266.3859340000274,266.9889301749953,266.2962306788544,268.2353778007753,274.7418887527052,283.58912702679993,206.52475026562558,210.76805789361464,213.03258191580784,213.60940994634805,212.78962959937783,210.8643284890396,208.12459422947617,204.86151443483007,201.36617671924392,197.92966869686023,194.54658708457015,191.21152859926428,189.698035341344,190.8901767194552,194.1895676559854,197.6134916790263,200.95817770017965,206.98900684629172,216.6902932393348,228.5720574885776,240.46435109216276,253.1663777634766,262.64969923693116,266.8048395338846,267.54535765817485,268.4439129246701,268.24552266926344,270.22352829859,276.19171618040934,284.1902692901971,419.01722482683397,427.97184637347976,432.4804196363642,433.22035262133295,430.869053334231,426.10392978090306,419.60238996719454,412.04184189895057,404.09969358201596,396.4533530222359,388.7859627389829,380.78066525162876,378.0861959983832,383.36849395803654,394.3221706770157,405.2410253066857,416.3844499172486,430.51993219276426,448.16664652389056,467.75368762307096,487.765976546968,509.1965299661004,525.1791196441046,532.3591238624147,533.9312916582023,535.4328430996654,534.5417533481178,538.4589060993653,550.9336049331146,567.779396316997
35568,96767.6104952436,916.9049038310653,1005.0554271680556,1070.7844234042157,1116.7865926361899,1145.7566349606225,1160.3892504741564,1163.3791392734358,1157.4210014551047,1145.2095371158068,1129.4394463521865,1109.0311239147886,1082.9049645541622,1072.6271950974353,1088.4411263334462,1121.7185423205472,1151.2376006290488,1178.4222909058428,1212.3208654963303,1254.395140050561,1299.753377969828,1344.3787028929785,1391.8785011573716,1417.7382095794997,1410.2335292865346,1381.075119339706,1353.482462533683,1322.5530921422705,1298.6974476012174,1289.356506852112,1289.210492701587,922.5435083955269,976.4486718861178,1016.8695283098053,1045.4303699193224,1063.7554889673997,1073.4691777067721,1076.1957283901695,1073.5594332703245,1067.1845845999687,1058.6954746318356,1048.2238834535276,1035.9015911526508,1030.8154508075745,1037.5747790012847,1053.3263314911328,1068.1227728027618,1080.9718404525843,1106.5806003749412,1150.3139421300807,1204.4539815966427,1257.6827705229312,1314.381689075185,1353.4345169478459,1363.85727933493,1355.914001823619,1349.8034791097377,1340.2269054173173,1338.7696617339047,1352.8246357439198,1375.71455949552,1839.4484122265922,1981.5040990541734,2087.653951714021,2162.2169625555125,2209.5121239280224,2233.8584281809285,2239.5748676636053,2230.9804347254294,2212.3941217157753,2188.134920984022,2157.255007368316,2118.806555706813,2103.44264590501,2126.0159053347306,2175.04487381168,2219.3603734318103,2259.3941313584273,2318.9014658712713,2404.7090821806414,2504.2073595664706,2602.06147341591,2706.260190232557,2771.1727265273457,2774.0908086214645,2736.989121163325,2703.2859416434208,2662.779997559588,2637.467109335122,2642.181142596032,2664.925052197107
