fid,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,date,validOn,validTo,Shape_Leng,Shape_Area,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"11",Colombia,CO,Magdalena,CO47,Cienaga,CO47189,Cienaga,,,2009/01/01,2014/10/29,,2.60718559426,0.1095457836,4111.05108923744,4403.86743672495,4550.6536138691,4650.14688648121,4398.08240409521,3570.91114102327,4099.68362259795,3798.69303915824,4062.89449869737,3977.9521686408,4359.55128128838,4105.70465027308,995.267965486244,4180.56341365585,4019.18352284341,4666.403811116,3653.78843546042,938.260490448331,132476.903403552
"12",Colombia,CO,AtlÃ¡ntico,CO08,Puerto Colombia,CO08573,Puerto Colombia,,,2009/01/01,2014/10/29,,0.45147420822,0.00509283569807,1125.82496902533,882.870843019336,999.266703616828,930.123387217522,893.205955629237,882.40108208172,1048.17695164867,719.936682113446,1045.95710993558,946.900670852512,1016.81270347256,1025.86514245439,188.982349337544,1107.24453450739,763.16600561142,927.222495554015,997.989643848501,177.821214603027,6156.58459378474
"13",Colombia,CO,La Guajira,CO44,DistracciÃ³n,CO44098,Distraccion,,,2009/01/01,2014/10/29,,0.869751726848,0.0191196553812,744.157466094242,832.357503899373,737.70643438329,793.749171260279,769.329309872817,527.23789110803,708.211938708555,873.232100621797,652.75636211317,604.551879450213,743.837768096011,673.192968578776,222.416642661323,728.015379855409,898.183491636766,876.033922742587,577.494323270628,215.684490978543,23119.1566966691
"14",Colombia,CO,La Guajira,CO44,Fonseca,CO44279,Fonseca,,,2009/01/01,2014/10/29,,1.24885578599,0.0392109263134,1650.9664655407,1846.6445439884,1636.65439082147,1760.98920600978,1706.81199805578,1169.71490240807,1571.21874707728,1937.32775643701,1448.18659085105,1341.24150450225,1650.25719391787,1493.52666055388,493.447200796509,1615.15409577871,1992.68419898651,1943.54380136007,1281.21238342952,478.511441363953,47428.0906107616
"15",Colombia,CO,La Guajira,CO44,San Juan del Cesar,CO44650,San Juan del Cesar,,,2009/01/01,2014/10/29,,2.45053142921,0.114695907224,1740.73351377086,1946.76849209541,1725.88124262809,1857.00534662686,1799.79924162896,1233.69347850105,1656.47358946712,2041.53419905528,1527.31322394777,1414.49691236438,1740.19418921578,1574.82650030812,520.017808148375,1703.05608730286,2099.9840861836,2048.95876817044,1351.23780739168,504.249974271777,138742.638430492
"16",Colombia,CO,Magdalena,CO47,Puebloviejo,CO47570,Puebloviejo,,,2009/01/01,2014/10/29,,1.32236444204,0.0552061696151,1379.94775125186,1478.23678984249,1527.5081933313,1560.90488718892,1476.29494069656,1198.64012670063,1376.13205819309,1275.09919039346,1363.78313283389,1335.27072136872,1463.36128164199,1378.15312393778,334.079475583247,1403.28080606717,1349.11076270428,1566.36181648681,1226.4593721804,314.943898185797,66770.7611119006
"17",Colombia,CO,AtlÃ¡ntico,CO08,Tubara,CO08832,Tubara,,,2009/01/01,2014/10/29,,0.654546528968,0.0145576642919,582.535966317169,456.824137101881,517.050883273594,481.274035478476,462.171837755945,456.58106834162,542.358528749086,372.517062847037,541.209914569277,489.955110695679,526.129715635907,530.813721448183,97.785196247045,572.921885617077,394.8852249505,479.773026003968,516.390094373375,92.0100867389701,17603.9410400482
"18",Colombia,CO,AtlÃ¡ntico,CO08,Galapa,CO08296,Galapa,,,2009/01/01,2014/10/29,,0.404951625006,0.00805305565265,2953.49648954626,2316.12907056231,2621.48271986376,2440.09170180839,2343.24227229878,2314.8966969233,2749.79417994898,1888.68653973378,2743.97063575499,2484.10533473175,2667.51301399618,2691.26123835053,495.777515782975,2904.75245910138,2002.09462536126,2432.48148177005,2618.13247528858,466.497322125826,9738.46663624597
"19",Colombia,CO,AtlÃ¡ntico,CO08,Soledad,CO08758,Soledad,,,2009/01/01,2014/10/29,,0.343466321193,0.00416399594989,35997.5666413456,28242.0445716083,31960.7157991827,29753.7149248868,28572.031823203,28218.0158243775,33517.7682921588,23032.2135436833,33446.4793124199,30282.2095698267,32518.9730475545,32805.3099849969,6045.90270679072,35404.9572009593,24415.1235913783,29661.2516522259,31910.2135075033,5688.85610238835,5035.29867131621
"20",Colombia,CO,AtlÃ¡ntico,CO08,Malambo,CO08433,Malambo,,,2009/01/01,2014/10/29,,0.486025667466,0.0082345403208,6726.32759267837,5275.80122737586,5970.97630073875,5558.17901868746,5337.511466939,5272.2748754546,6262.64921943471,4302.32974884287,6249.3617672734,5657.78111803904,6075.58528545499,6129.42135992274,1129.35377550311,6615.43628738075,4560.66088667139,5540.87066075578,5962.57390875742,1062.65664797649,9959.54165528192
"21",Colombia,CO,AtlÃ¡ntico,CO08,Juan de Acosta,CO08372,Juan de Acosta,,,2009/01/01,2014/10/29,,0.726715584753,0.0141898347451,926.544682271313,726.595437027514,822.388271661242,765.483891550917,735.101150199538,726.208827307215,862.641003441066,592.501963242656,860.814091191161,779.291458038148,836.828485247679,844.278567929054,155.530917905213,911.25313740666,628.079340416472,763.096481640358,821.337263177847,146.345395738492,17163.8087185886
"22",Colombia,CO,Magdalena,CO47,Aracataca,CO47053,Aracataca,,,2009/01/01,2014/10/29,,2.62811154581,0.144478382887,1992.32692865888,2134.18526664423,2205.27273127774,2253.59692263766,2131.45199937851,1730.44862574112,1986.65086873539,1840.86586040526,1968.96981310518,1927.69707517512,2112.74517336464,1989.60865859594,482.313877783396,2025.9832037742,1947.72469077539,2261.41875320871,1770.69226063811,454.685779459352,174858.577510924
"23",Colombia,CO,Cesar,CO20,Valledupar,CO20001,Valledupar,,,2009/01/01,2014/10/29,,4.43384659457,0.348628178977,23721.4543102074,24782.4372339614,24990.0518989868,26955.5708605614,25662.0381405416,19150.4192103562,21484.5672310448,20831.2726182851,23194.147831434,21308.4071594654,25002.9179751197,22036.5090001539,5483.60576682008,23715.7740103371,22144.4050927456,26313.3077010227,20656.1615767898,5145.23311811412,422282.677491911
"24",Colombia,CO,AtlÃ¡ntico,CO08,Baranoa,CO08078,Baranoa,,,2009/01/01,2014/10/29,,0.702593017284,0.00991641499542,3118.88998728618,2445.83049132116,2768.28370632511,2576.73492992669,2474.46200918127,2444.52910326142,2903.78050952032,1994.45151006524,2897.63084662706,2623.21329315752,2816.89165698458,2841.96976478677,523.540669071488,3067.41632440314,2114.21036057547,2568.69854442868,2764.74584966153,492.620807278901,11995.8915734451
"25",Colombia,CO,AtlÃ¡ntico,CO08,Sabanagrande,CO08634,Sabanagrande,,,2009/01/01,2014/10/29,,0.300633607522,0.003535881082,1826.83863649517,1433.67127494141,1622.29154331237,1510.41302667186,1450.4023908712,1432.15792651102,1701.08771272749,1169.27422249317,1697.45973241702,1536.97423417121,1650.53228770941,1664.96214163676,306.931109365076,1796.81289983541,1239.47759854048,1505.73010539263,1619.41313808039,288.805623657536,4277.28755208108
"26",Colombia,CO,AtlÃ¡ntico,CO08,Polonuevo,CO08558,Polonuevo,,,2009/01/01,2014/10/29,,0.432031599769,0.00619317324866,833.668331867084,653.761893403716,739.952505102381,688.752190736122,661.414998425171,653.414038168266,776.170324191451,533.109879156575,774.526540352032,701.175692718476,752.94523944892,759.648530043662,139.940580643248,819.909603046253,565.120998321101,686.604092361405,739.006848847494,131.675810518442,7492.50905123172
