ADM1_EN,ADM2_EN,ADM3_EN,Area,Y_M_0,Y_M_1,Y_M_2,Y_M_3,Y_M_4,Y_M_5,Y_M_6,Y_M_7,Y_M_8,Y_M_9,Y_M_10,Y_M_11,Y_M_12,Y_M_13,Y_M_14,Y_M_15,Y_M_16,Y_M_17,Y_M_18,Y_M_19,Y_M_20,Y_M_21,Y_M_22,Y_M_23,Y_M_24,Y_M_25,Y_M_26,Y_M_27,Y_M_28,Y_M_29,Y_F_0,Y_F_1,Y_F_2,Y_F_3,Y_F_4,Y_F_5,Y_F_6,Y_F_7,Y_F_8,Y_F_9,Y_F_10,Y_F_11,Y_F_12,Y_F_13,Y_F_14,Y_F_15,Y_F_16,Y_F_17,Y_F_18,Y_F_19,Y_F_20,Y_F_21,Y_F_22,Y_F_23,Y_F_24,Y_F_25,Y_F_26,Y_F_27,Y_F_28,Y_F_29,Y_T_0,Y_T_1,Y_T_2,Y_T_3,Y_T_4,Y_T_5,Y_T_6,Y_T_7,Y_T_8,Y_T_9,Y_T_10,Y_T_11,Y_T_12,Y_T_13,Y_T_14,Y_T_15,Y_T_16,Y_T_17,Y_T_18,Y_T_19,Y_T_20,Y_T_21,Y_T_22,Y_T_23,Y_T_24,Y_T_25,Y_T_26,Y_T_27,Y_T_28,Y_T_29
Kigali City,Nyarugenge,Gitega,118.22457333625499,293.8799180312168,320.7294902746685,335.1522231814866,338.98065048384694,334.04730591392547,322.18472320389753,305.22543608593935,285.00197829222674,263.3468835549354,242.09268560624122,220.87954217987064,199.34761100955023,190.29130581970242,199.92791233940142,223.51283630547522,246.32945642642966,266.81540740146613,303.77771812763194,363.646344404602,435.87674686718003,505.0543844352727,576.1341102266318,622.1826050548563,628.8157368526468,608.2228504728323,588.0962308130271,564.2399904666903,535.1051186710359,503.13386172542556,468.56273539276077,299.2927700677875,312.39823677587526,318.24995761346815,317.97540101194375,312.70203540267914,303.5573292170524,291.66875088644025,278.1637688422203,264.1698515157701,250.81446733846678,236.74888292179142,220.62436487722442,215.9493907356267,228.80383256816893,252.88655334653853,275.4565098649976,298.62986983718815,318.5906052831644,332.0125842498775,340.51317119560247,349.1832802242284,357.18162974605644,360.6222273784649,358.1301354175578,350.8676751535424,342.0193170498854,331.72482077713045,317.125183345032,297.3682348925592,274.1007744426732,593.1726880990043,633.1277270505437,653.4021807949548,656.9560514957907,646.7493413166046,625.7420524209499,596.8941869723797,563.165747134447,527.5167350707055,492.907152944708,457.62842510166206,419.97197588677466,406.2406965553291,428.7317449075704,476.3993896520137,521.7859662914273,565.4452772386543,622.3683234107964,695.6589286544795,776.3899180627825,854.2376646595011,933.3157399726883,982.8048324333212,986.9458722702045,959.0905256263748,930.1155478629125,895.9648112438208,852.230302016068,800.5020966179848,742.663509835434
Kigali City,Nyarugenge,Kanyinya,2435.0640502803,209.4459873706694,250.37934831610247,281.5555729639222,303.98500267228377,318.67797879934216,326.64484270325204,328.8959357421688,326.44159927424727,320.2921746576425,311.45800325050925,299.9240213879349,285.67516540500577,274.84880177521774,270.5060819028621,270.5811320768893,268.9315520802974,265.56737183449235,266.500489881372,273.7164654295202,284.199300503778,294.15247782105206,305.7813487187387,307.9687745203737,295.2585501196747,273.2965454219107,252.33924421190076,229.32064026060164,213.47851410325828,210.11916789528192,214.29574815517725,255.60566722383425,268.0436607620118,278.09708826714757,285.92787214332844,291.69793479464107,295.56919862517157,297.70358603900706,298.26301944023396,297.40942123293894,295.30471382120845,292.5209693072079,289.63025979310237,284.7437591925855,277.2030905135865,268.40062525442784,259.53634247512775,249.34932304723225,245.11569703752963,250.25321961326566,261.06543827898463,270.58812243118257,280.394090661597,286.0516826245306,284.70863591046293,278.51642055773686,272.6475835651391,266.2701929940214,258.43929195537464,249.26718252494237,238.96035423710265,465.05165459450365,518.4230090781143,559.6526612310697,589.9128748156122,610.3759135939832,622.2140413284236,626.5995217811758,624.7046187144813,617.7015958905814,606.7627170717177,592.4449906951428,575.3054251981082,559.5925609678033,547.7091724164486,538.9817573313171,528.4678945554251,514.9166948817247,511.61618691890163,523.9696850427858,545.2647387827626,564.7406002522346,586.1754393803357,594.0204571449043,579.9671860301376,551.8129659796475,524.9868277770398,495.590833254623,471.9178060586329,459.3863504202243,453.2561023922799
Kigali City,Nyarugenge,Kigali,2959.86772026792,312.759323506329,337.86437399026613,355.6492051599914,366.99945817711955,372.80077420326484,373.93879440004287,371.29915992906757,365.7675119519538,358.22949163031615,349.5707401257695,339.9259157386303,329.42967676921444,322.7225786856288,322.1922283720847,326.4713184063018,329.5926520727281,330.094929823602,340.5984963674197,365.93189142325,399.1889511632804,430.0798547136424,462.3964254567259,477.9874962824814,467.3264546177022,439.1725132995483,412.28844614526025,383.4940364796403,355.4166732243186,331.4371075845842,310.09641943503635,286.7050978575461,315.18013018387563,335.7064490081674,349.1803289666782,356.4980446956646,358.5558708313836,356.2500820100916,350.47695286804543,342.13275804150186,332.11377216671775,320.20242259836226,306.1811366911053,296.51542548913926,294.32925819189506,297.177367590868,298.85659411394556,299.84686187853765,303.1261981151339,309.3097312160966,316.9308369795563,324.12609869914075,331.5302027815585,334.6642813212878,331.18989305007494,323.0298919598579,314.6917545720752,305.5694030959359,294.8896875003328,282.8152529263547,269.6479713820213,599.4644213638751,653.0445041741418,691.3556541681588,716.1797871437977,729.2988188989294,732.4946652314264,727.5492419391592,716.2444648199992,700.3622496718181,681.6845122924872,660.1283383369926,635.6108134603197,619.2380041747681,616.5214865639798,623.6486859971699,628.4492461866737,629.9417917021397,643.7246944825536,675.2416226393466,716.1197881428368,754.2059534127832,793.9266282382844,812.6517776037692,798.5163476677772,762.2024052594062,726.9802007173355,689.0634395755762,650.3063607246513,614.2523605109388,579.7443908170576
Kigali City,Nyarugenge,Kimisagara,333.702353428255,557.9331785453095,622.8731189053666,661.0401051971321,676.0558203346136,671.5419472318172,651.12016880275,618.4121679614183,577.0396276218289,530.6242306979888,482.7876601039044,432.8408538676254,380.094750017201,349.7247558964245,353.97404419121654,383.5320631577126,411.1009557770721,435.24733434619816,484.8682348646156,569.3847365945811,672.9425657128332,773.1669804626467,878.0136627899174,943.5698311334617,946.8018650685315,907.899863759613,870.9241299207926,828.0665027590749,783.9029907051082,745.4622614955656,709.4528418474192,545.4017730220552,594.3029380764364,624.0445629156231,637.1677752907871,636.2137029530999,623.7234736537338,602.2382151438594,574.2990551746486,542.4471214972733,509.22354186290465,472.4770952580449,430.0565606691953,407.9648096708771,418.1276675436017,449.009215744531,477.05495088682187,506.8644621716501,530.6865701001649,542.2531307588579,545.5883074842454,550.4935476043222,554.4195297470565,557.2055346916194,559.5550035915845,560.1808758078568,557.8445331938741,553.6959597542761,541.4286780848981,518.0663411274435,486.846319664288,1103.3349515673647,1217.176056981803,1285.0846681127553,1313.2235956254008,1307.7556501849172,1274.8436424564838,1220.6503831052778,1151.3386827964775,1073.071352195262,992.011201966809,905.3179491256703,810.1513106863963,757.6895655673015,772.1017117348183,832.5412789022437,888.155906663894,942.1117965178482,1015.5548049647805,1111.637867353439,1218.5308731970786,1323.660528066969,1432.4331925369738,1500.775365825081,1506.356868660116,1468.0807395674697,1428.7686631146667,1381.762462513351,1325.3316687900065,1263.5286026230092,1196.299161511707
Kigali City,Nyarugenge,Mageregere,5505.35160618206,258.41334709879254,273.306178506107,285.047142651946,293.92343916359584,300.22226766834285,304.23082779347305,306.2363191662728,306.5259414140281,305.38689416402536,303.1063770435508,299.75674005938714,295.41033321831753,291.4286042501443,288.52845202315996,286.3525273031413,283.2795662260056,278.97740265069046,276.83006504622756,278.14863495609825,281.14736508203816,283.26162048056193,285.6429608182795,282.96768780284003,272.53036635302374,257.0216096867447,241.73998919518047,225.5088183105473,210.9294353023652,199.79337568132905,190.74382092704798,220.05858465553277,240.26172121357806,256.31123756146417,268.5914343350535,277.4866121702084,283.38107170279136,286.6591135686648,287.7050384036908,286.9031468437321,284.637739524651,281.15274668216705,276.692098552,272.34194777072594,268.76733577449255,265.9314519987344,262.49217433131963,257.94960306097335,257.10904055924505,261.982817756129,270.16226384593296,277.52269158527855,285.24461581361265,288.8890437480207,285.9425360696312,278.574576478207,271.2985077758612,263.00816514234583,255.39275201039374,249.68037228997392,244.76965634690535,478.4719317543253,513.5678997196851,541.3583802134101,562.5148734986494,577.7088798385512,587.6118994962644,592.8954327349376,594.2309798177189,592.2900410077575,587.7441165682019,580.9094867415542,572.1024317703175,563.7705520208702,557.2957877976526,552.2839793018757,545.7717405573253,536.9270057116638,533.9391056054726,540.1314527122272,551.3096289279711,560.7843120658405,570.8875766318922,571.8567315508608,558.4729024226549,535.5961861649516,513.0384969710417,488.5169834528931,466.32218731275896,449.47374797130294,435.5134772739533
Kigali City,Nyarugenge,Muhima,296.51087034090096,237.3171081230173,263.52770870304175,279.0356141796116,285.4094224147799,284.2177312705993,277.0291386091232,265.4122422924041,250.93564018249506,235.16793014144892,219.6777100313187,205.35494192409516,193.0895878917695,187.84342474670422,192.54232193107606,206.71896993675216,221.88471261844603,233.6227085712428,273.42875199203445,354.1636834867474,458.7611473264695,558.570161018181,660.8523776706701,734.6393041719443,762.0920812534335,757.2303048305513,753.1419820859907,744.6849739816657,726.9971125381461,701.4479352834694,669.173670530128,237.7785895112047,257.73798646950775,269.6936642501356,274.8367628962992,274.35842245120966,269.44978295807783,261.3019844601147,251.10616700053126,240.0534706225386,229.33503536934757,217.52417358817962,203.19419762625603,200.62538600673594,216.24453416480952,243.38929905571888,268.7830276014326,294.8560328998566,316.60358972072623,330.1206643018724,337.698088154602,345.54051402873995,352.41755634593954,355.9210170812606,355.4707774877546,351.46822919063527,345.52702620553936,338.08301010150876,325.8318854448315,307.53572737760504,285.07339187755537,475.095697634222,521.2656951725495,548.7292784297472,560.2461853110791,558.576153721809,546.478921567201,526.7142267525187,502.0418071830263,475.2214007639875,449.0127454006663,422.8791155122748,396.2837855180255,388.46881075344015,408.7868560958856,450.10826899247104,490.6677402198786,528.4787414710994,590.0323417127606,684.2843477886198,796.4592354810715,904.110675046921,1013.2699340166096,1090.5603212532048,1117.5628587411882,1108.6985340211866,1098.66900829153,1082.7679840831745,1052.8289979829776,1008.9836626610745,954.2470624076834
Kigali City,Nyarugenge,Nyakabanda,244.212435278583,302.17684388360834,336.5873637254227,358.33679795384313,369.07874699997836,370.46681129493646,364.1545912698265,351.79568735575646,335.0436999838349,315.5522295851705,294.97487659087165,273.2655958938596,250.37834238705597,236.4649441925045,236.5782928176875,247.27305207915254,257.1561781280512,265.0325003446572,286.79947441425253,328.10859733142803,380.3675108366012,430.6909232978823,483.28616938839,516.8403051000604,519.9517547145849,502.4858414146423,485.95105436420425,466.33560404605794,446.3295410987846,429.52537586326525,413.930751883888,296.2384490323081,328.18620856642804,348.26053525090236,358.1063920700548,359.3687420082086,353.6925480496878,342.7227731788152,328.1043803799146,311.48233263730947,294.5015929353232,275.3638413686749,252.27075803208348,244.08372035789498,259.3342571096421,289.33748260283465,316.9142532569884,345.5451228292462,367.69710043983434,377.9006846378325,379.8643278364182,382.7608130409246,384.749378619767,384.2439132991801,381.36657139930804,376.0272986087804,368.54875532932294,359.5082523204801,346.24286098976097,327.66733069438897,305.39661025161706,598.4152929159164,664.7735722918508,706.5973332047455,727.1851390700332,729.835553303145,717.8471393195143,694.5184605345717,663.1480803637495,627.03456222248,589.4764695261948,548.6294372625346,502.6491004191395,480.5486645503995,495.9125499273296,536.6105346819872,574.0704313850396,610.5776231739035,654.4965748540869,706.0092819692605,760.2318386730194,813.4517363388069,868.0355480081571,901.0842183992405,901.3183261138929,878.5131400234227,854.4998096935271,825.843856366538,792.5724020885456,757.1927065576542,719.327362135505
Kigali City,Nyarugenge,Nyamirambo,881.0132892305521,342.16045795656515,392.18551789143675,425.8037198667222,445.06103418967024,452.00343116752975,448.6768811075497,437.12735431697865,419.4008211030654,397.54325177305884,373.60061663420777,347.5149341070655,319.2282226121851,301.30621189029324,300.0027760220297,311.05202965455635,320.7691364353892,328.0929713322153,350.60498135008686,394.46137558867804,450.28288644986094,504.09973582398834,560.5847176387783,596.0259727789639,597.7968733112094,576.9246688379998,557.2464730027907,534.2147464060535,511.5767245313873,493.66303092799086,477.89197674245764,360.93370198907957,384.785106800139,400.23520815533334,408.44606267410404,410.579726975893,407.7982576801406,401.26371140628925,392.13814477378025,381.58361440205493,370.76217691055484,358.8007270838737,344.8261597066049,340.1763405724295,350.0836499704843,369.6046590156674,387.4217435385939,404.42825037896546,423.12978505492094,443.19066191053287,462.9316463911764,481.74894939391584,500.6510404942512,509.3569405222418,502.96168490092754,485.96818300788374,468.0528859085553,447.60279592294586,425.8320114801633,404.4226577456702,382.7009464606756,703.0941599456447,776.9706246915757,826.0389280220555,853.5070968637742,862.5831581434227,856.4751387876903,838.391065723268,811.5389658768456,779.1268661751137,744.3627935447626,706.3156611909392,664.05438231879,641.4825524627228,650.086425992514,680.6566886702237,708.1908799739831,732.5212217111807,773.7347664050078,837.6520374992109,913.2145328410373,985.8486852179042,1061.2357581330295,1105.3829133012057,1100.758558212137,1062.8928518458836,1025.299358911346,981.8175423289993,937.4087360115507,898.085688673661,860.5929232031333
Kigali City,Nyarugenge,Nyarugenge,466.029609807324,177.63342444252956,207.8460979038477,227.5486545890571,238.1250217384102,240.9591265921595,237.43489639055758,228.9362583738568,216.84713978230977,202.55146785616893,187.4331698356869,173.3397177404405,162.1185835900069,152.8359707280159,145.94871683607084,144.23138349239787,144.62560599899243,141.29175098190242,171.73154875240255,252.2395925584785,362.992672577094,467.4015535987845,572.218364099311,654.7672938173287,699.8629412458412,716.8431871587742,733.8118442034718,749.4447862901685,738.1061122999191,691.2204650845525,620.4723000202179,184.29606072111164,200.8097046184541,211.31002469015107,216.64293795299497,217.65436142377806,215.19021211929274,210.09640705633115,203.2188632516856,195.40349772214847,187.49622748451196,178.71068529148076,168.26050389575946,165.15302163457872,173.4987240529061,189.24667537527094,203.69060861921332,217.9179623867991,231.5670457684521,243.36844834632916,253.26036762895637,262.9247113355644,272.59425767374114,276.38691212177366,271.7195381078728,261.104726334668,249.84407357606975,237.12430387668698,223.7427230413445,210.71049144964283,197.69661801433605,361.9294851636412,408.65580252230177,438.85867927920816,454.76795969140517,458.61348801593755,452.6251085098503,439.03266543018793,420.06600303399534,397.9549655783174,374.92939732019886,352.0504030319213,330.3790874857664,317.9889923625946,319.447440888977,333.4780588676688,348.3162146182058,359.2097133687015,403.29859452085464,495.6080409048077,616.2530402060504,730.326264934349,844.8126217730521,931.1542059391023,971.582479353714,977.9479134934422,983.6559177795415,986.5690901668555,961.8488353412636,901.9309565341954,818.1689180345539
Kigali City,Nyarugenge,Rwezamenyo,103.43345230630399,133.43057431259143,147.659039571762,156.72875288486483,161.34143984985357,162.19882606468204,160.0026371273042,155.45459863567365,149.25643618774424,142.10987538146978,134.71664181480415,127.16863224983219,119.55774344863893,115.63484518852232,117.32132073917386,123.48940919094078,129.49571197624203,134.35580354270928,147.20216523990632,171.498996130562,202.2797395257953,231.55324322223726,261.4452619184502,281.8784026941309,287.190695288087,281.8894591215146,276.7918672435771,270.51194508457286,260.4140391635904,246.5211933918007,229.8978507730489,119.98155201358759,137.85461773347836,150.2307641348838,157.85323474550245,161.46527309303286,161.81012270517354,159.63102710962303,155.67122983407978,150.67397440624242,145.3825043538093,139.0010613348007,130.73388700723643,129.01923424720755,137.6783503217696,152.83747314958563,166.70965238704673,180.74194890861497,192.15851950817103,198.75597115020759,201.8499975330356,205.04957196655323,207.7407636800773,208.21867647514424,206.02771421394417,201.621418615151,196.18359390640288,189.80707888755802,181.47603358802786,170.91078499374376,158.75555906600945,253.41212632617902,285.5136573052404,306.95951701974866,319.194674595356,323.6640991577149,321.81275983247775,315.0856257452967,304.92766602182405,292.7838497877122,280.09914616861346,266.1696935846329,250.29163045587535,244.65407943572987,254.99967106094346,276.3268823405264,296.20536436328877,315.09775245132425,339.36068474807735,370.2549672807696,404.12973705883087,436.6028151887905,469.1860255985275,490.09707916927516,493.21840950203114,483.51087773666563,472.97546114998,460.3190239721309,441.8900727516183,417.4319783855444,388.6534098390583
