fid,ADM0_EN,ADM0_FR,ADM0_RW,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_FR,ADM1_RW,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3ALT1EN,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"11",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Bumbogo,RW1201,,2100.99264885485,2497.5671197325,2135.26965640485,2493.5434641391,2252.8521797657,979.112107306719,2180.24231049418,1853.53603848815,1778.20172798634,1257.40184418857,2009.24061879516,1624.04033506662,475.856875684112,2087.08032670617,1806.9508895874,2451.10927440226,1227.46056099981,482.795256335288,6104.37786640619
"12",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Gatsata,RW1202,,2515.45774966478,2259.4148375392,2165.05692321062,1645.73536992073,1914.30058693886,1528.31959423423,3566.24286675453,2088.89979350567,1705.45547324419,2434.34848463535,2312.98317593336,3145.18735435605,531.671453878284,2475.15455436707,2018.89318984747,2354.37703627348,886.265656501055,544.101049974561,606.622255548345
"13",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Gikomero,RW1203,,844.189529672265,1267.57693468034,855.683771207929,1184.05595187843,1108.00563833117,447.290528260171,843.242342293262,897.625665917993,702.097924746573,580.754075422883,814.272184804082,668.531414717436,240.699306204915,871.286689147353,913.997101634741,1251.18347002566,550.860854431987,233.806844852865,3531.58574406779
"14",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Gisozi,RW1204,,2687.93800252676,2740.73461335897,2489.31684744358,2015.45104622841,2305.47013777494,1813.10102730989,3844.37236368656,2449.13597881794,2024.03176862001,2722.66953653097,2503.3052521944,3827.31068432331,629.035145670176,2618.06505966187,2388.60809075832,2686.25607901812,1232.6003883779,637.932682365179,836.492337324688
"15",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Jabana,RW1205,,2110.37425453961,2453.32432253659,1917.79249861836,2033.32230678201,2031.48534975946,985.46387591958,2251.82231031358,1756.46578286588,1646.64418582618,1435.81625378132,1916.3652471453,1867.89271709323,485.556820698082,1994.90306049585,1843.78399914503,2462.45277291536,1154.04843244702,457.511111442,3664.7290779549
"16",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Jali,RW1206,,1661.70571170747,1906.96095617115,1491.46576566994,1707.45329414308,1761.27508106828,727.180786438286,1607.47033438087,1286.70462614298,1159.59073905647,936.138535581529,1511.4525770992,1123.9493734166,356.129645545036,1459.00994001329,1352.31580522656,2028.58290582895,831.535606198013,335.151234772056,3764.61292625742
"17",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Kacyiru,RW1207,,2294.33234751225,1880.55608069897,1820.75500655174,1422.28643393517,1534.2352284193,1613.35041487217,3586.34011244774,1667.42755508423,1554.93466258049,2585.3505012989,1967.63853991032,3547.79798030853,449.444496095181,2162.27105975151,1706.6562885046,2010.79544126987,857.584501564503,434.319099664688,582.659311740735
"18",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Kimihurura,RW1208,,1373.9193379879,1086.93226194382,1228.62315654755,800.184059977531,865.351273775101,1005.94425910711,2785.4226732254,934.009755373001,858.00505822897,1866.02943575382,1102.07584750652,3143.84659123421,268.684314459562,1248.41582667828,1020.26343935728,1052.00124514103,488.363564729691,243.283912613988,510.862688441691
"19",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Kimironko,RW1209,,3092.28688079119,2407.5121473074,2424.77766638994,1743.89946556091,1941.29457387328,4324.11215147376,4896.40395414829,1941.63123169541,1974.30996161699,5479.22310006618,2522.40882521868,6302.99654757977,524.408519305289,2840.64446467161,1991.31404453516,2331.59485766292,1068.92322675884,505.741623930633,1141.60381894282
"20",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Kinyinya,RW1210,,3269.44751144946,3375.13766720891,3605.46440291405,3037.534372136,2995.7242140919,2417.28192310035,5169.49688112736,2901.30559301376,2493.13759218156,3598.43788647652,3024.45257331431,5027.97768542171,799.584983058274,3309.95364788175,3036.22968204319,3458.99184677005,1741.55532070994,755.710477877408,2437.1262907409
"21",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Ndera,RW1211,,2242.44623376429,2803.61322003603,2488.10407301784,2615.55695745349,2613.08977180719,1227.47545012087,2763.50294274092,2019.42089295387,1839.27756353468,1716.78017656505,2200.24953356385,2148.71658792347,548.683990944177,2304.85751478374,2083.49408186227,2920.95563484728,1248.07935921103,526.003677912056,5074.3740775956
"22",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Nduba,RW1212,,1419.45212367177,1570.74344548583,1344.28956715763,1551.41829675436,1469.44887983799,704.02550739795,1432.0098630935,1244.90113852918,1139.85364427418,817.615064561367,1266.94484555721,1052.14919731766,327.314732071012,1324.46355648339,1242.89813324809,1731.98462963104,882.249479562044,324.262579262257,4688.07543716307
"23",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Remera,RW1213,,3017.89390099049,2179.94570696354,2304.75694894791,1651.7342223525,1908.45686382055,1856.55867576599,4669.11287045479,1919.26798534393,1885.11569404602,3170.16353034973,2479.1506100893,4397.8767914772,529.687241047621,2654.74721026421,2011.35859775543,2232.82459485531,1058.66941207647,499.916617304087,731.996957426521
"24",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Rusororo,RW1214,,2074.1866812855,2548.42127449811,2221.86864359677,2311.92934527993,2352.5716432929,1068.50865217671,2436.82447420061,1881.96254581958,1569.81648041308,1497.23314435035,2041.17499300838,2013.74096170813,485.457706246525,2007.23339305818,1843.40774586797,2603.00263543427,1052.15805321932,490.199566502124,5261.25086525514
"25",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Rutunga,RW1215,,928.88116595149,1225.0220131427,976.369916126132,1242.35655747354,1249.3601692915,417.317118607461,928.469912648201,872.769966959953,785.339315749705,438.764189183712,910.893916547298,638.576296314597,224.353027213365,883.607013732195,851.926100857556,1298.94174325466,635.679302327335,227.332611467689,4301.87180867358
"26",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Kicukiro,RW13,Gahanga,RW1301,,1436.86430485547,1710.60357543826,1392.45386747271,1711.01430206746,1542.76707739383,683.836627654731,1391.90303299576,1412.38474629074,1121.79311466962,997.416811570525,1450.16755687445,1176.23965909705,360.025560453534,1339.45273414999,1367.10962349176,1833.24522380531,864.427853982896,367.887441631407,3703.86718239418
